iter	Passed	Remaining
211	984	12945
212	988	12936
213	992	12926
214	997	12920
215	1001	12907
216	1005	12898
217	1010	12889
218	1014	12877
219	1018	12869
220	1022	12863
221	1027	12858
222	1031	12849
223	1036	12841
224	1040	12831
225	1044	12825
226	1049	12816
227	1053	12802
228	1057	12794
229	1061	12785
230	1065	12775
231	1069	12766
232	1074	12757
233	1078	12746
234	1082	12740
235	1087	12734
236	1091	12730
237	1097	12739
238	1103	12742
239	1107	12736
240	1112	12731
241	1116	12725
242	1121	12720
243	1126	12719
244	1130	12715
245	1135	12714
246	1140	12712
247	1145	12709
248	1150	12707
249	1152	12678
250	1157	12675
251	1162	12671
252	1166	12667
253	1171	12663
254	1176	12661
255	1180	12656
256	1185	12652
257	1190	12647
258	1194	12641
259	1198	12635
260	1203	12634
261	1208	12626
262	1212	12619
263	1216	12611
264	1221	12609
265	1226	12606
266	1230	12597
267	1235	12592
268	1239	12583
269	1243	12575
270	1248	12571
271	1252	12566
272	1257	12559
273	1261	12553
274	1266	12551
275	1270	12543
276	1275	12537
277	1280	12535
278	1284	12531
279	1288	12520
280	1292	12509
281	1297	12502
282	1301	12495
283	1306	12490
284	1310	12484
285	1314	12477
286	1318	12468
287	1323	12462
288	1327	12454
289	1331	12445
290	1336	12439
291	1340	12435
292	1344	12426
293	1349	12416
294	1353	12411
295	1357	12402
296	1362	12398
297	1366	12390
298	1369	12369
299	1373	12362
300	1377	12351
301	1381	12345
302	1386	12340
303	1390	12334
304	1394	12325
305	1399	12318
306	1403	12309
307	1408	12308
308	1413	12308
309	1417	12301
310	1422	12296
311	1424	12272
312	1428	12266
313	1432	12257
314	1436	12244
315	1441	12239
316	1445	12232
317	1449	12229
318	1454	12223
319	1459	12221
320	1463	12215
321	1467	12208
322	1472	12202
323	1476	12195
324	1480	12188
325	1485	12181
326	1489	12172
327	1493	12166
328	1497	12160
329	1501	12152
330	1506	12146
331	1510	12140
332	1514	12132
333	1519	12126
334	1523	12117
335	1527	12108
336	1531	12104
337	1535	12096
338	1539	12087
339	1543	12077
340	1547	12069
341	1551	12059
342	1555	12051
343	1559	12042
344	1563	12032
345	1567	12026
346	1572	12019
347	1576	12012
348	1580	12005
349	1585	12001
350	1588	11988
351	1591	11968
352	1595	11962
353	1599	11957
354	1603	11949
355	1607	11942
356	1612	11937
357	1616	11931
358	1620	11923
359	1624	11913
360	1629	11908
361	1633	11901
362	1637	11895
363	1641	11888
364	1645	11880
365	1649	11871
366	1653	11864
367	1658	11860
368	1662	11852
369	1667	11851
370	1671	11844
371	1676	11844
372	1680	11836
373	1684	11830
374	1689	11824
375	1693	11817
376	1696	11805
377	1700	11797
378	1705	11794
379	1709	11788
380	1714	11784
381	1718	11779
382	1723	11773
383	1726	11764
384	1731	11758
385	1735	11751
386	1739	11744
387	1743	11737
388	1747	11732
389	1751	11724
390	1756	11717
391	1760	11712
392	1764	11706
393	1769	11701
394	1773	11695
395	1777	11689
396	1781	11683
397	1786	11677
398	1790	11672
399	1794	11665
400	1798	11659
401	1803	11654
402	1807	11650
403	1812	11646
404	1816	11642
405	1820	11634
406	1825	11630
407	1830	11625
408	1834	11619
409	1838	11615
410	1843	11611
411	1847	11606
412	1852	11601
413	1856	11596
414	1861	11592
415	1865	11586
416	1869	11580
417	1873	11574
418	1878	11569
419	1882	11564
420	1886	11558
421	1891	11552
422	1895	11547
423	1900	11543
424	1904	11540
425	1909	11535
426	1913	11530
427	1917	11524
428	1922	11519
429	1926	11513
430	1930	11507
431	1934	11501
432	1939	11496
433	1943	11490
434	1948	11487
435	1952	11482
436	1956	11475
437	1960	11469
438	1965	11464
439	1970	11465
440	1975	11462
441	1979	11457
442	1984	11453
443	1988	11450
444	1993	11445
445	1997	11439
446	2002	11435
447	2006	11431
448	2011	11427
449	2015	11423
450	2020	11418
451	2024	11415
452	2029	11408
453	2033	11402
454	2037	11397
455	2042	11395
456	2047	11392
457	2051	11387
458	2056	11384
459	2060	11379
460	2065	11374
461	2069	11369
462	2074	11364
463	2078	11361
464	2082	11355
465	2087	11350
466	2091	11345
467	2095	11338
468	2100	11333
469	2104	11330
470	2109	11327
471	2113	11321
472	2118	11316
473	2122	11312
474	2126	11305
475	2130	11299
476	2135	11293
477	2139	11290
478	2143	11283
479	2148	11279
480	2152	11274
481	2157	11270
482	2161	11265
483	2166	11261
484	2171	11258
485	2175	11253
486	2179	11247
487	2184	11244
488	2188	11237
489	2192	11232
490	2197	11228
491	2201	11223
492	2205	11217
493	2209	11210
494	2214	11206
495	2218	11201
496	2223	11196
497	2227	11193
498	2232	11189
499	2236	11182
500	2240	11176
501	2244	11170
502	2249	11165
503	2253	11160
504	2257	11153
505	2261	11148
506	2265	11142
507	2270	11136
508	2274	11129
509	2278	11123
510	2282	11117
511	2286	11111
512	2291	11107
513	2295	11102
514	2299	11097
515	2304	11094
516	2308	11089
517	2313	11083
518	2317	11080
519	2322	11075
520	2326	11070
521	2330	11064
522	2335	11059
523	2339	11054
524	2343	11048
525	2347	11042
526	2352	11039
527	2357	11036
528	2361	11031
529	2366	11027
530	2370	11023
531	2375	11017
532	2379	11012
533	2383	11007
534	2388	11002
535	2392	10997
536	2396	10991
537	2400	10986
538	2404	10979
539	2408	10974
540	2413	10968
541	2416	10961
542	2420	10954
543	2425	10948
544	2429	10942
545	2433	10935
546	2436	10928
547	2441	10923
548	2445	10917
549	2449	10911
550	2453	10904
551	2456	10896
552	2461	10891
553	2465	10886
554	2469	10879
555	2473	10873
556	2477	10867
557	2481	10861
558	2485	10855
559	2490	10849
560	2494	10844
561	2498	10838
562	2503	10835
563	2507	10830
564	2511	10823
565	2516	10822
566	2521	10817
567	2525	10811
568	2529	10807
569	2534	10803
570	2538	10798
571	2542	10792
572	2547	10789
573	2552	10787
574	2556	10782
575	2561	10778
576	2565	10774
577	2570	10771
578	2574	10766
579	2578	10760
580	2583	10756
581	2588	10752
582	2592	10749
583	2596	10743
584	2601	10738
585	2605	10734
586	2610	10730
587	2614	10726
588	2619	10723
589	2624	10720
590	2628	10713
591	2633	10710
592	2637	10706
593	2641	10700
594	2646	10697
595	2650	10692
596	2654	10686
597	2659	10680
598	2663	10675
599	2667	10669
600	2671	10663
601	2675	10658
602	2679	10652
603	2684	10647
604	2688	10641
605	2692	10638
606	2697	10632
607	2701	10627
608	2705	10621
609	2709	10617
610	2714	10613
611	2718	10608
612	2723	10603
613	2727	10597
614	2731	10593
615	2736	10589
616	2740	10586
617	2745	10580
618	2749	10575
619	2753	10571
620	2758	10567
621	2763	10563
622	2767	10558
623	2771	10552
624	2775	10547
625	2780	10542
626	2784	10537
627	2788	10534
628	2793	10529
629	2797	10525
630	2802	10520
631	2806	10516
632	2810	10511
633	2815	10505
634	2819	10500
635	2823	10494
636	2827	10488
637	2831	10482
638	2835	10476
639	2839	10472
640	2844	10467
641	2848	10462
642	2853	10458
643	2857	10453
644	2861	10448
645	2866	10443
646	2870	10437
647	2874	10432
648	2878	10427
649	2882	10422
650	2887	10417
651	2891	10412
652	2895	10407
653	2899	10401
654	2903	10396
655	2907	10390
656	2911	10383
657	2915	10377
658	2919	10372
659	2924	10366
660	2929	10364
661	2933	10360
662	2937	10355
663	2942	10351
664	2947	10348
665	2951	10344
666	2956	10340
667	2961	10338
668	2965	10334
669	2969	10327
670	2973	10321
671	2977	10316
672	2982	10311
673	2986	10307
674	2990	10301
675	2995	10297
676	2999	10292
677	3003	10287
678	3008	10282
679	3012	10277
680	3016	10272
681	3020	10266
682	3024	10261
683	3029	10256
684	3033	10252
685	3038	10249
686	3042	10245
687	3048	10245
688	3054	10243
689	3058	10239
690	3063	10235
691	3068	10232
692	3072	10227
693	3076	10223
694	3081	10219
695	3085	10215
696	3090	10211
697	3095	10208
698	3099	10204
699	3104	10200
700	3108	10195
701	3113	10191
702	3118	10188
703	3122	10183
704	3126	10178
705	3131	10173
706	3135	10168
707	3139	10164
708	3144	10160
709	3148	10155
710	3152	10150
711	3157	10145
712	3161	10140
713	3165	10136
714	3170	10131
715	3174	10127
716	3179	10123
717	3183	10118
718	3188	10114
719	3192	10109
720	3197	10105
721	3201	10101
722	3206	10096
723	3210	10092
724	3214	10088
725	3219	10083
726	3223	10078
727	3228	10074
728	3232	10069
729	3237	10066
730	3241	10062
731	3246	10057
732	3250	10052
733	3254	10048
734	3259	10044
735	3264	10040
736	3268	10036
737	3272	10031
738	3277	10028
739	3281	10023
740	3286	10019
741	3291	10015
742	3295	10011
743	3300	10007
744	3305	10004
745	3309	10000
746	3314	9996
747	3318	9992
748	3323	9988
749	3327	9983
750	3332	9980
751	3336	9975
752	3341	9970
753	3345	9966
754	3350	9962
755	3354	9958
756	3359	9954
757	3364	9950
758	3368	9945
759	3372	9941
760	3377	9936
761	3381	9931
762	3386	9927
763	3390	9923
764	3395	9919
765	3399	9915
766	3404	9910
767	3408	9907
768	3413	9902
769	3417	9898
770	3422	9894
771	3427	9891
772	3432	9887
773	3436	9884
774	3441	9880
775	3445	9875
776	3450	9871
777	3454	9867
778	3459	9863
779	3464	9859
780	3468	9854
781	3472	9850
782	3477	9846
783	3482	9842
784	3486	9838
785	3491	9835
786	3496	9831
787	3500	9827
788	3505	9823
789	3510	9819
790	3514	9815
791	3519	9811
792	3524	9807
793	3528	9803
794	3532	9798
795	3537	9795
796	3542	9791
797	3546	9786
798	3551	9782
799	3555	9778
800	3560	9774
801	3564	9770
802	3569	9766
803	3574	9763
804	3578	9758
805	3583	9754
806	3588	9751
807	3592	9747
808	3597	9742
809	3601	9738
810	3606	9734
811	3611	9730
812	3615	9727
813	3620	9722
814	3625	9718
815	3629	9714
816	3633	9709
817	3638	9706
818	3643	9702
819	3647	9697
820	3652	9693
821	3656	9688
822	3661	9684
823	3665	9680
824	3670	9676
825	3674	9671
826	3679	9667
827	3684	9663
828	3688	9660
829	3693	9656
830	3697	9651
831	3702	9647
832	3706	9643
833	3711	9639
834	3715	9634
835	3720	9630
836	3724	9624
837	3728	9620
838	3733	9616
839	3738	9613
840	3743	9609
841	3748	9605
842	3752	9602
843	3757	9599
844	3762	9594
845	3766	9590
846	3771	9586
847	3776	9582
848	3780	9578
849	3785	9574
850	3789	9570
851	3794	9565
852	3799	9562
853	3803	9558
854	3808	9554
855	3813	9550
856	3817	9546
857	3822	9542
858	3827	9539
859	3831	9535
860	3836	9532
861	3841	9528
862	3846	9523
863	3850	9519
864	3855	9515
865	3859	9510
866	3863	9504
867	3867	9500
868	3872	9496
869	3877	9492
870	3881	9488
871	3886	9483
872	3890	9479
873	3895	9476
874	3900	9472
875	3905	9468
876	3909	9464
877	3914	9461
878	3919	9457
879	3924	9454
880	3929	9450
881	3934	9447
882	3938	9442
883	3943	9438
884	3947	9434
885	3952	9431
886	3957	9427
887	3961	9422
888	3966	9419
889	3971	9414
890	3975	9409
891	3979	9405
892	3985	9402
893	3989	9398
894	3994	9394
895	3999	9390
896	4004	9387
897	4008	9383
898	4013	9378
899	4017	9375
900	4022	9371
901	4027	9367
902	4031	9363
903	4036	9359
904	4040	9354
905	4045	9350
906	4049	9345
907	4054	9341
908	4059	9337
909	4063	9333
910	4068	9329
911	4073	9325
912	4077	9321
913	4081	9316
914	4086	9312
915	4090	9307
916	4095	9303
917	4099	9298
918	4104	9293
919	4109	9290
920	4114	9286
921	4118	9282
922	4122	9277
923	4127	9272
924	4131	9268
925	4136	9264
926	4140	9259
927	4145	9255
928	4150	9251
929	4154	9247
930	4159	9244
931	4164	9240
932	4169	9236
933	4173	9232
934	4178	9228
935	4182	9222
936	4186	9218
937	4190	9212
938	4195	9207
939	4199	9202
940	4203	9198
941	4207	9192
942	4211	9187
943	4216	9184
944	4221	9179
945	4225	9174
946	4229	9169
947	4233	9164
948	4238	9160
949	4243	9156
950	4247	9151
951	4252	9147
952	4256	9142
953	4260	9138
954	4265	9133
955	4270	9130
956	4274	9125
957	4278	9120
958	4283	9116
959	4287	9111
960	4291	9106
961	4296	9102
962	4301	9097
963	4305	9093
964	4310	9089
965	4314	9084
966	4319	9080
967	4323	9076
968	4328	9072
969	4333	9069
970	4337	9064
971	4342	9060
972	4346	9055
973	4351	9051
974	4355	9046
975	4360	9042
976	4364	9037
977	4369	9033
978	4373	9028
979	4378	9024
980	4382	9020
981	4386	9015
982	4391	9010
983	4395	9005
984	4399	9000
985	4404	8996
986	4408	8990
987	4412	8986
988	4416	8981
989	4421	8976
990	4425	8971
991	4429	8966
992	4433	8961
993	4438	8957
994	4442	8952
995	4447	8948
996	4451	8944
997	4456	8939
998	4460	8934
999	4464	8929
1000	4469	8925
1001	4473	8920
1002	4478	8915
1003	4482	8912
1004	4487	8907
1005	4491	8902
1006	4495	8897
1007	4500	8893
1008	4505	8889
1009	4509	8884
1010	4514	8880
1011	4518	8876
1012	4523	8872
1013	4527	8868
1014	4532	8864
1015	4536	8859
1016	4541	8855
1017	4546	8850
1018	4550	8847
1019	4555	8842
1020	4559	8838
1021	4564	8834
1022	4569	8830
1023	4574	8826
1024	4578	8822
1025	4583	8819
1026	4588	8814
1027	4592	8809
1028	4597	8806
1029	4602	8801
1030	4606	8797
1031	4612	8795
1032	4616	8790
1033	4621	8786
1034	4625	8782
1035	4631	8779
1036	4635	8775
1037	4640	8770
1038	4644	8766
1039	4649	8761
1040	4653	8757
1041	4657	8752
1042	4662	8748
1043	4667	8744
1044	4671	8739
1045	4676	8736
1046	4681	8732
1047	4685	8727
1048	4690	8724
1049	4695	8719
1050	4699	8715
1051	4704	8712
1052	4709	8707
1053	4714	8703
1054	4718	8699
1055	4723	8694
1056	4727	8690
1057	4732	8686
1058	4736	8682
1059	4741	8677
1060	4746	8674
1061	4750	8669
1062	4755	8665
1063	4760	8661
1064	4764	8657
1065	4769	8653
1066	4774	8648
1067	4778	8644
1068	4782	8639
1069	4788	8637
1070	4792	8632
1071	4798	8629
1072	4802	8624
1073	4807	8620
1074	4811	8616
1075	4816	8611
1076	4820	8607
1077	4824	8602
1078	4829	8598
1079	4833	8593
1080	4838	8589
1081	4842	8584
1082	4847	8580
1083	4852	8576
1084	4856	8571
1085	4860	8566
1086	4865	8562
1087	4869	8557
1088	4874	8553
1089	4878	8549
1090	4883	8545
1091	4888	8541
1092	4893	8537
1093	4897	8533
1094	4902	8528
1095	4906	8524
1096	4911	8520
1097	4916	8516
1098	4920	8511
1099	4925	8507
1100	4929	8502
1101	4934	8497
1102	4938	8493
1103	4943	8489
1104	4948	8485
1105	4952	8481
1106	4957	8477
1107	4961	8472
1108	4966	8468
1109	4970	8463
1110	4975	8459
1111	4980	8455
1112	4984	8451
1113	4989	8446
1114	4993	8442
1115	4998	8438
1116	5002	8433
1117	5007	8429
1118	5011	8424
1119	5016	8420
1120	5021	8416
1121	5025	8411
1122	5030	8408
1123	5035	8404
1124	5040	8400
1125	5044	8395
1126	5049	8391
1127	5054	8387
1128	5058	8383
1129	5063	8379
1130	5067	8374
1131	5071	8369
1132	5077	8366
1133	5082	8362
1134	5086	8358
1135	5091	8353
1136	5095	8349
1137	5100	8344
1138	5104	8340
1139	5108	8335
1140	5112	8330
1141	5117	8326
1142	5122	8322
1143	5127	8318
1144	5131	8313
1145	5136	8309
1146	5140	8304
1147	5145	8300
1148	5149	8296
1149	5154	8291
1150	5158	8287
1151	5163	8282
1152	5167	8277
1153	5171	8272
1154	5175	8267
1155	5180	8263
1156	5184	8258
1157	5189	8254
1158	5193	8249
1159	5197	8243
1160	5201	8239
1161	5206	8235
1162	5210	8230
1163	5215	8226
1164	5219	8221
1165	5224	8217
1166	5228	8212
1167	5232	8207
1168	5236	8202
1169	5241	8198
1170	5246	8193
1171	5250	8189
1172	5255	8185
1173	5259	8180
1174	5264	8176
1175	5269	8172
1176	5273	8167
1177	5277	8163
1178	5282	8158
1179	5286	8154
1180	5291	8149
1181	5295	8144
1182	5299	8140
1183	5304	8135
1184	5308	8131
1185	5313	8126
1186	5317	8121
1187	5321	8117
1188	5326	8113
1189	5330	8107
1190	5334	8103
1191	5339	8098
1192	5343	8094
1193	5347	8089
1194	5352	8084
1195	5356	8079
1196	5361	8075
1197	5365	8070
1198	5370	8066
1199	5374	8061
1200	5378	8057
1201	5383	8052
1202	5388	8048
1203	5392	8044
1204	5396	8039
1205	5401	8034
1206	5405	8029
1207	5410	8025
1208	5414	8021
1209	5419	8016
1210	5423	8012
1211	5427	8007
1212	5432	8003
1213	5437	7999
1214	5441	7994
1215	5445	7989
1216	5449	7984
1217	5454	7979
1218	5458	7975
1219	5463	7970
1220	5467	7965
1221	5471	7961
1222	5476	7957
1223	5481	7953
1224	5485	7948
1225	5489	7943
1226	5494	7939
1227	5498	7934
1228	5503	7929
1229	5507	7925
1230	5512	7920
1231	5516	7916
1232	5520	7911
1233	5525	7906
1234	5529	7902
1235	5534	7898
1236	5538	7894
1237	5543	7889
1238	5547	7885
1239	5552	7881
1240	5556	7875
1241	5560	7870
1242	5564	7866
1243	5569	7861
1244	5573	7857
1245	5578	7852
1246	5582	7848
1247	5586	7843
1248	5591	7838
1249	5595	7834
1250	5600	7830
1251	5605	7826
1252	5609	7821
1253	5614	7817
1254	5619	7812
1255	5623	7808
1256	5628	7804
1257	5633	7800
1258	5638	7797
1259	5643	7793
1260	5647	7788
1261	5652	7784
1262	5657	7780
1263	5661	7775
1264	5666	7771
1265	5671	7767
1266	5675	7763
1267	5680	7758
1268	5684	7754
1269	5689	7750
1270	5694	7745
1271	5698	7741
1272	5703	7737
1273	5707	7732
1274	5712	7728
1275	5716	7723
1276	5721	7719
1277	5726	7715
1278	5730	7710
1279	5735	7706
1280	5739	7701
1281	5744	7697
1282	5748	7693
1283	5753	7689
1284	5757	7684
1285	5762	7680
1286	5767	7676
1287	5771	7671
1288	5776	7667
1289	5780	7662
1290	5785	7658
1291	5790	7654
1292	5794	7650
1293	5799	7645
1294	5804	7641
1295	5808	7637
1296	5813	7633
1297	5817	7628
1298	5822	7624
1299	5827	7620
1300	5831	7615
1301	5835	7610
1302	5840	7606
1303	5844	7602
1304	5849	7597
1305	5854	7593
1306	5858	7588
1307	5863	7584
1308	5867	7580
1309	5872	7575
1310	5876	7570
1311	5880	7566
1312	5885	7561
1313	5890	7557
1314	5895	7553
1315	5899	7549
1316	5904	7545
1317	5908	7540
1318	5913	7535
1319	5917	7531
1320	5921	7526
1321	5926	7522
1322	5931	7518
1323	5935	7514
1324	5940	7509
1325	5944	7504
1326	5949	7500
1327	5953	7495
1328	5958	7491
1329	5962	7486
1330	5967	7482
1331	5971	7478
1332	5976	7473
1333	5980	7469
1334	5985	7465
1335	5989	7460
1336	5994	7455
1337	5999	7451
1338	6003	7447
1339	6008	7442
1340	6012	7438
1341	6017	7434
1342	6021	7429
1343	6026	7425
1344	6030	7420
1345	6035	7416
1346	6039	7411
1347	6044	7407
1348	6049	7403
1349	6053	7398
1350	6058	7394
1351	6062	7389
1352	6067	7385
1353	6071	7381
1354	6076	7377
1355	6081	7372
1356	6085	7367
1357	6089	7363
1358	6094	7359
1359	6098	7354
1360	6103	7349
1361	6107	7344
1362	6111	7339
1363	6115	7335
1364	6119	7330
1365	6124	7326
1366	6129	7321
1367	6133	7317
1368	6138	7313
1369	6142	7308
1370	6147	7304
1371	6151	7299
1372	6156	7295
1373	6160	7290
1374	6164	7285
1375	6169	7281
1376	6174	7277
1377	6179	7273
1378	6183	7269
1379	6188	7264
1380	6192	7260
1381	6197	7255
1382	6202	7251
1383	6206	7246
1384	6211	7243
1385	6216	7239
1386	6221	7235
1387	6226	7230
1388	6230	7226
1389	6235	7222
1390	6240	7218
1391	6244	7214
1392	6249	7209
1393	6253	7205
1394	6258	7200
1395	6262	7195
1396	6266	7190
1397	6271	7186
1398	6275	7181
1399	6280	7177
1400	6284	7172
1401	6289	7168
1402	6293	7163
1403	6298	7159
1404	6302	7154
1405	6306	7150
1406	6311	7145
1407	6315	7141
1408	6320	7137
1409	6325	7132
1410	6329	7128
1411	6334	7123
1412	6338	7119
1413	6343	7114
1414	6347	7110
1415	6352	7105
1416	6357	7102
1417	6362	7097
1418	6366	7093
1419	6371	7089
1420	6375	7084
1421	6380	7080
1422	6385	7076
1423	6389	7071
1424	6393	7066
1425	6398	7062
1426	6402	7057
1427	6406	7052
1428	6411	7048
1429	6415	7044
1430	6420	7039
1431	6425	7035
1432	6430	7031
1433	6434	7026
1434	6438	7021
1435	6442	7017
1436	6447	7012
1437	6451	7008
1438	6456	7003
1439	6460	6998
1440	6464	6994
1441	6469	6989
1442	6473	6985
1443	6477	6980
1444	6482	6975
1445	6486	6970
1446	6490	6966
1447	6495	6961
1448	6499	6957
1449	6504	6952
1450	6508	6948
1451	6513	6943
1452	6517	6939
1453	6522	6935
1454	6527	6931
1455	6531	6926
1456	6536	6921
1457	6540	6917
1458	6544	6912
1459	6548	6907
1460	6553	6903
1461	6557	6898
1462	6562	6894
1463	6566	6889
1464	6571	6885
1465	6576	6881
1466	6580	6876
1467	6585	6872
1468	6589	6867
1469	6594	6863
1470	6598	6858
1471	6602	6854
1472	6606	6849
1473	6611	6844
1474	6615	6839
1475	6620	6835
1476	6624	6831
1477	6629	6826
1478	6633	6821
1479	6637	6817
1480	6642	6812
1481	6646	6807
1482	6650	6803
1483	6655	6798
1484	6659	6794
1485	6665	6790
1486	6669	6786
1487	6673	6781
1488	6678	6777
1489	6682	6772
1490	6687	6767
1491	6692	6763
1492	6696	6759
1493	6701	6755
1494	6705	6750
1495	6710	6746
1496	6714	6741
1497	6719	6737
1498	6724	6733
1499	6728	6728
1500	6733	6724
1501	6738	6720
1502	6742	6715
1503	6746	6711
1504	6751	6706
1505	6756	6702
1506	6760	6697
1507	6765	6693
1508	6769	6688
1509	6773	6684
1510	6778	6680
1511	6783	6676
1512	6788	6671
1513	6792	6667
1514	6797	6662
1515	6801	6657
1516	6805	6653
1517	6810	6648
1518	6814	6643
1519	6819	6639
1520	6823	6635
1521	6828	6631
1522	6833	6627
1523	6838	6622
1524	6842	6618
1525	6847	6613
1526	6851	6609
1527	6856	6604
1528	6860	6600
1529	6864	6595
1530	6869	6591
1531	6873	6586
1532	6878	6582
1533	6882	6577
1534	6887	6572
1535	6891	6568
1536	6895	6563
1537	6900	6559
1538	6904	6555
1539	6909	6550
1540	6913	6545
1541	6918	6541
1542	6923	6537
1543	6927	6532
1544	6932	6528
1545	6936	6523
1546	6940	6519
1547	6945	6515
1548	6950	6510
1549	6954	6506
1550	6959	6501
1551	6964	6497
1552	6968	6492
1553	6973	6488
1554	6977	6484
1555	6982	6479
1556	6986	6474
1557	6990	6470
1558	6995	6466
1559	6999	6461
1560	7003	6456
1561	7008	6452
1562	7012	6447
